,stimulus,modtheta,flipped,model,lower,median,upper
197,1,0.0,same,th,97.5254729985,99.7733570771,99.9995101927
198,1,20.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
199,1,20.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
200,1,20.0,flipped,exp,92.2112430574,96.8377466032,99.1479716893
201,1,20.0,flipped,expA,91.0319648943,97.6501132248,99.7833505825
202,1,20.0,flipped,expB,87.7821064413,95.6778159092,99.1595964861
203,1,20.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
204,1,20.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
205,1,20.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
206,1,20.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
207,1,20.0,same,bq,97.5254729985,99.7733570771,99.9995101927
208,1,20.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
209,1,20.0,same,exp,92.2112430574,96.8377466032,99.1479716893
210,1,20.0,same,expA,91.0319648943,97.6501132248,99.7833505825
211,1,20.0,same,expB,87.7821064413,95.6778159092,99.1595964861
212,1,20.0,same,gs,33.3178245599,90.4474181962,99.978309153
213,1,20.0,same,hc,97.5254729985,99.7733570771,99.9995101927
214,1,20.0,same,oc,97.5254729985,99.7733570771,99.9995101927
215,1,20.0,same,th,97.5254729985,99.7733570771,99.9995101927
216,1,40.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
217,1,40.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
218,1,40.0,flipped,exp,86.7490776035,92.8545165203,96.8145040931
219,1,40.0,flipped,expA,91.0319648943,97.6501132248,99.7833505825
220,1,40.0,flipped,expB,76.9289485763,87.7425603563,94.832577549
221,1,40.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
222,1,40.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
223,1,40.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
224,1,40.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
225,1,40.0,same,bq,97.5254729985,99.7733570771,99.9995101927
226,1,40.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
227,1,40.0,same,exp,86.7490776035,92.8545165203,96.8145040931
228,1,40.0,same,expA,91.0319648943,97.6501132248,99.7833505825
229,1,40.0,same,expB,76.9289485763,87.7425603563,94.832577549
230,1,40.0,same,gs,33.3178245599,90.4474181962,99.978309153
231,1,40.0,same,hc,97.5254729985,99.7733570771,99.9995101927
232,1,40.0,same,oc,97.5254729985,99.7733570771,99.9995101927
233,1,40.0,same,th,97.5254729985,99.7733570771,99.9995101927
234,1,60.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
235,1,60.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
236,1,60.0,flipped,exp,82.9876070348,89.8653094068,94.7415324709
237,1,60.0,flipped,expA,76.9289485763,87.7425603563,94.832577549
238,1,60.0,flipped,expB,82.0933850382,91.7129443889,97.2392909008
239,1,60.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
240,1,60.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
241,1,60.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
242,1,60.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
243,1,60.0,same,bq,97.5254729985,99.7733570771,99.9995101927
244,1,60.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
245,1,60.0,same,exp,85.3322749421,91.7762175247,96.1053502764
246,1,60.0,same,expA,71.5436706018,83.4417342683,91.9659049396
247,1,60.0,same,expB,95.1241540556,99.5483563846,99.9990228337
248,1,60.0,same,gs,33.3178245599,90.4474181962,99.978309153
249,1,60.0,same,hc,97.5254729985,99.7733570771,99.9995101927
250,1,60.0,same,oc,97.5254729985,99.7733570771,99.9995101927
251,1,60.0,same,th,97.5254729985,99.7733570771,99.9995101927
252,1,80.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
253,1,80.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
254,1,80.0,flipped,exp,78.2101619022,85.8791648741,91.7434037253
255,1,80.0,flipped,expA,72.0673669519,83.7706865018,92.1332515998
256,1,80.0,flipped,expB,76.9289485763,87.7425603563,94.832577549
257,1,80.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
258,1,80.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
259,1,80.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
260,1,80.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
261,1,80.0,same,bq,97.5254729985,99.7733570771,99.9995101927
262,1,80.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
263,1,80.0,same,exp,75.6634578531,83.7237720617,90.0698323869
264,1,80.0,same,expA,66.8122358958,79.3887303862,88.9954986977
265,1,80.0,same,expB,76.9289485763,87.7425603563,94.832577549
266,1,80.0,same,gs,33.3178245599,90.4474181962,99.978309153
267,1,80.0,same,hc,97.5254729985,99.7733570771,99.9995101927
268,1,80.0,same,oc,97.5254729985,99.7733570771,99.9995101927
269,1,80.0,same,th,97.5254729985,99.7733570771,99.9995101927
270,1,100.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
271,1,100.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
272,1,100.0,flipped,exp,82.9876070348,89.8653094068,94.7415324709
273,1,100.0,flipped,expA,72.0673669519,83.7706865018,92.1332515998
274,1,100.0,flipped,expB,87.7821064413,95.6778159092,99.1595964861
275,1,100.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
276,1,100.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
277,1,100.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
278,1,100.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
279,1,100.0,same,bq,97.5254729985,99.7733570771,99.9995101927
280,1,100.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
281,1,100.0,same,exp,68.0602844396,76.9096507039,84.4029823479
282,1,100.0,same,expA,58.578732015,71.8524457102,82.9571714639
283,1,100.0,same,expB,69.7195221807,81.7844955477,90.7023890011
284,1,100.0,same,gs,33.3178245599,90.4474181962,99.978309153
285,1,100.0,same,hc,97.5254729985,99.7733570771,99.9995101927
286,1,100.0,same,oc,97.5254729985,99.7733570771,99.9995101927
287,1,100.0,same,th,97.5254729985,99.7733570771,99.9995101927
288,1,120.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
289,1,120.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
290,1,120.0,flipped,exp,84.0677072769,90.7697770492,95.4060831732
291,1,120.0,flipped,expA,84.5549303601,93.5689497037,98.2456424207
292,1,120.0,flipped,expB,76.9289485763,87.7425603563,94.832577549
293,1,120.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
294,1,120.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
295,1,120.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
296,1,120.0,flipped,th,97.5254729985,99.7733570771,99.9995101927
297,1,120.0,same,bq,97.5254729985,99.7733570771,99.9995101927
298,1,120.0,same,bqp,97.5254729985,99.7733570771,99.9995101927
299,1,120.0,same,exp,74.7507365508,82.8893892876,89.3722994205
300,1,120.0,same,expA,69.7195221807,81.7844955477,90.7023890011
301,1,120.0,same,expB,72.0673669519,83.7706865018,92.1332515998
302,1,120.0,same,gs,33.3178245599,90.4474181962,99.978309153
303,1,120.0,same,hc,97.5254729985,99.7733570771,99.9995101927
304,1,120.0,same,oc,97.5254729985,99.7733570771,99.9995101927
305,1,120.0,same,th,97.5254729985,99.7733570771,99.9995101927
306,1,140.0,flipped,bq,97.5254729985,99.7733570771,99.9995101927
307,1,140.0,flipped,bqp,97.5254729985,99.7733570771,99.9995101927
308,1,140.0,flipped,exp,82.6554836385,89.6591839658,94.6316678599
309,1,140.0,flipped,expA,82.0933850382,91.7129443889,97.2392909008
310,1,140.0,flipped,expB,76.0384183072,87.2353915539,94.6099612506
311,1,140.0,flipped,gs,33.3178245599,90.4474181962,99.978309153
312,1,140.0,flipped,hc,97.5254729985,99.7733570771,99.9995101927
313,1,140.0,flipped,oc,97.5254729985,99.7733570771,99.9995101927
