model,trial,lower,median,upper
exp,136,2135.65822455,2284.43369766,2456.53829723
exp,137,2106.26148485,2280.44711095,2459.90907204
exp,138,2000.15514764,2170.30623224,2332.2807998
exp,139,1990.45732093,2143.9333515,2317.53406028
exp,140,2124.91425751,2292.39623397,2499.94154423
exp,141,2076.2667257,2232.26182333,2395.0747772
exp,142,2034.18403611,2194.66544786,2377.33866993
exp,143,1976.39519344,2113.18644109,2270.04315261
exp,144,2146.95069786,2316.98100543,2494.5983503
exp,145,2056.84741378,2226.28071198,2416.47715252
exp,146,2063.47881163,2199.30878352,2352.27181808
exp,147,2124.61976086,2296.72650368,2480.1889048
exp,148,2142.54531098,2304.01525843,2476.93166023
exp,149,2086.0148146,2249.01500068,2420.76837966
exp,150,2107.4380357,2263.99621808,2446.2321079
exp,151,1919.63281385,2084.18097235,2246.64592224
exp,152,1925.17525057,2073.53545002,2231.77289038
exp,153,1926.06548253,2069.33086717,2221.5789521
exp,154,1955.04958426,2096.65721611,2246.17567528
exp,155,1967.52199143,2105.04603503,2261.10885552
exp,156,1850.60073879,1971.31514438,2114.50507526
exp,157,2091.59720647,2257.56982291,2436.27519661
exp,158,1987.79152302,2127.39701812,2282.65720023
exp,159,1919.11726326,2054.40043014,2213.10094622
exp,160,2112.21499102,2245.01731173,2400.21517331
exp,161,2105.92113844,2268.74967709,2460.26003473
exp,162,2048.54519241,2209.92580954,2377.08759437
exp,163,1969.18684664,2134.78590583,2298.69399564
exp,164,1924.80349411,2085.00478463,2262.29760597
exp,165,1990.1342984,2144.40918127,2320.6142611
exp,166,2017.34567552,2163.51224426,2325.48791906
exp,167,2040.56991255,2191.31765823,2350.68969262
exp,168,2004.10874445,2153.64525086,2321.23295825
exp,169,1901.62412554,2047.99039057,2229.05343816
exp,170,2006.63528918,2150.85410317,2309.80695905
exp,171,2045.24359579,2215.94538478,2404.41294955
exp,172,2046.83634509,2194.03592471,2341.54582055
exp,173,2035.39551051,2193.72157279,2359.18835987
exp,174,2005.05854468,2156.45055272,2321.39985475
exp,175,2064.8233186,2225.58486473,2417.10102889
exp,176,1923.19941618,2070.44454436,2238.28053283
exp,177,1968.90861657,2127.6933632,2280.4097046
exp,178,1973.51817303,2127.86693571,2299.90460314
exp,179,2004.83592593,2135.18012166,2293.63076098
exp,180,1920.73141287,2075.07936605,2245.82300789
exp,181,1986.42415671,2128.07534914,2287.70087065
exp,182,2027.83094194,2185.40041819,2364.67710655
exp,183,1847.53381266,1969.82304815,2108.39135832
exp,184,2023.59927485,2173.73656967,2347.64418952
exp,185,1976.54608077,2132.9530409,2310.18597925
exp,186,1880.4941851,2023.04402332,2162.63803127
exp,187,1919.55392606,2052.47946802,2202.2704498
exp,188,1976.00723579,2147.79673415,2319.76390736
exp,189,1962.14767714,2124.39934613,2310.49241627
exp,190,1990.67092847,2140.26489562,2318.44228257
exp,191,2113.27416733,2275.82820362,2455.7195147
exp,192,1873.57187452,2030.90855489,2203.89152652
exp,193,1928.80930408,2081.85964953,2272.12866637
exp,194,1962.54721422,2131.55915089,2297.69260244
exp,195,1963.87176288,2111.74662732,2266.10353591
exp,196,2032.62155946,2195.53440513,2380.17846166
exp,197,2027.89813173,2173.83544059,2354.13078959
exp,198,1953.51895333,2114.37482755,2276.53876273
exp,199,1959.45547058,2114.41041323,2283.16735161
exp,200,1993.65155813,2140.43400268,2326.79934289
expA,1,2176.39488191,2337.28958952,2530.01728898
expA,2,2186.30104368,2327.17352333,2473.34522012
expA,3,2174.01647408,2356.26382404,2542.75469378
expA,4,2175.64268149,2335.53442328,2520.80553793
expA,5,2189.37287722,2344.249004,2495.21112158
expA,6,2240.38508097,2376.68494471,2552.87275695
expA,7,2198.50380977,2351.4632711,2515.2917645
expA,8,2179.71956859,2354.10625871,2519.58545864
expA,9,2171.76637629,2337.32389923,2518.99230289
expA,10,2361.25013068,2519.19925249,2732.32183328
expA,11,2257.6543802,2437.27180934,2623.64224567
expA,12,2231.55405134,2381.47118753,2542.17699415
expA,13,2305.14400201,2477.65486045,2664.27939432
expA,14,2210.81597191,2375.27572368,2544.02999957
expA,15,2173.74140865,2348.11990363,2525.13814359
expA,16,2064.4538195,2211.57557915,2387.06823251
expA,17,2264.38918846,2425.77186386,2612.85597792
expA,18,2209.05491174,2370.60728,2544.64642278
expA,19,2219.88457221,2395.43090864,2583.59073873
expA,20,2202.05572903,2387.45572882,2569.97467559
expA,21,2300.48132635,2469.96874344,2655.2575653
expA,22,2203.92763195,2371.79649015,2565.94748461
expA,23,2225.24822249,2391.12109769,2600.45725568
expA,24,2157.69745629,2321.41895999,2490.04404568
