,stimulus,theta,flipped,model,lower,median,upper,modtheta
303,0,340.0,flipped,exp,2040.59848208,1807.14946514,1611.06526157,20.0
304,0,340.0,flipped,expA,2402.24724646,2025.94229368,1725.16316017,20.0
305,0,340.0,flipped,expB,1950.94144508,1648.44220509,1408.95899122,20.0
306,0,340.0,flipped,gs,722.0,722.0,722.0,20.0
307,0,340.0,flipped,hc,15.5446790699,14.9549689086,14.2910046232,20.0
308,0,340.0,flipped,oc,4.90426466682,4.53759723423,4.21174022588,20.0
309,0,340.0,flipped,th,7.50451947265,5.91978285427,4.92270407095,20.0
310,0,340.0,same,bq,17.2889926366,15.9294606965,14.5266168378,20.0
311,0,340.0,same,bqp,16.7366516313,15.1759217452,13.7472473703,20.0
312,0,340.0,same,exp,2014.48251615,1799.01486033,1608.82729339,20.0
313,0,340.0,same,expA,2072.34468335,1742.51769704,1482.59999966,20.0
314,0,340.0,same,expB,2137.94318776,1847.29436736,1596.80146234,20.0
315,0,340.0,same,gs,722.0,722.0,722.0,20.0
316,0,340.0,same,hc,16.2341259244,15.4825679292,14.7867886862,20.0
317,0,340.0,same,oc,4.29814821448,4.04312668464,3.79734818518,20.0
318,0,340.0,same,th,11.4825111163,8.97648598364,7.47657618423,20.0
319,1,0.0,flipped,bq,22.7802015627,21.271101392,19.681543713,0.0
320,1,0.0,flipped,bqp,22.4477814322,21.0953154208,19.8777124196,0.0
321,1,0.0,flipped,exp,1952.22822831,1804.25537,1674.71333204,0.0
322,1,0.0,flipped,expA,1892.84411357,1680.55413542,1511.47882596,0.0
323,1,0.0,flipped,expB,2176.21940383,1938.15436628,1728.2658438,0.0
324,1,0.0,flipped,gs,722.0,722.0,722.0,0.0
325,1,0.0,flipped,hc,16.0998321263,15.6248657248,15.1430117009,0.0
326,1,0.0,flipped,oc,1.0,1.0,1.0,0.0
327,1,0.0,flipped,th,2.0,2.0,2.0,0.0
328,1,0.0,same,bq,23.6070755345,21.92871441,20.3855060958,0.0
329,1,0.0,same,bqp,24.7461171443,23.1603603345,21.7851861164,0.0
330,1,0.0,same,exp,1478.89000489,1385.05941304,1294.44668748,0.0
331,1,0.0,same,expA,1588.04470853,1430.31741989,1293.01073053,0.0
332,1,0.0,same,expB,1465.01835408,1342.51829472,1240.52910144,0.0
333,1,0.0,same,gs,722.0,722.0,722.0,0.0
334,1,0.0,same,hc,16.3358640296,15.8358849796,15.3303681621,0.0
335,1,0.0,same,oc,1.0,1.0,1.0,0.0
336,1,0.0,same,th,1.0,1.0,1.0,0.0
337,1,20.0,flipped,bq,23.2586504844,21.1572595509,19.451436344,20.0
338,1,20.0,flipped,bqp,28.0769357748,25.2050950997,22.9435025323,20.0
339,1,20.0,flipped,exp,2656.21521731,2282.84268647,1997.9418668,20.0
340,1,20.0,flipped,expA,3330.85424536,2723.94406708,2304.92856134,20.0
341,1,20.0,flipped,expB,2359.38237088,1963.67227151,1599.43567051,20.0
342,1,20.0,flipped,gs,722.0,722.0,722.0,20.0
343,1,20.0,flipped,hc,15.4816177355,14.5723734065,13.7946298882,20.0
344,1,20.0,flipped,oc,4.78697941599,4.48239060832,4.19829968863,20.0
345,1,20.0,flipped,th,8.0337319542,6.39134705633,5.22713074484,20.0
346,1,20.0,same,bq,23.4622969923,21.1786677039,19.0716714247,20.0
347,1,20.0,same,bqp,22.4466006523,20.4161250754,18.7046157736,20.0
348,1,20.0,same,exp,2272.51326885,2005.10068253,1810.65419864,20.0
349,1,20.0,same,expA,2461.01946305,2058.5997314,1783.68281181,20.0
350,1,20.0,same,expB,2306.41555865,1942.67586424,1667.59842381,20.0
351,1,20.0,same,gs,722.0,722.0,722.0,20.0
352,1,20.0,same,hc,23.8879726245,22.9605584101,22.0934846922,20.0
353,1,20.0,same,oc,4.69171521289,4.42431265143,4.1541794012,20.0
354,1,20.0,same,th,12.197844676,9.66976518777,7.96228570587,20.0
355,1,40.0,flipped,bq,26.0431483495,23.7024114958,21.5983401961,40.0
356,1,40.0,flipped,bqp,24.4427654217,22.0744309994,20.0967132783,40.0
357,1,40.0,flipped,exp,3310.67107235,2669.08614468,2110.49589604,40.0
358,1,40.0,flipped,expA,3942.04743508,3212.63826278,2578.46880976,40.0
359,1,40.0,flipped,expB,3098.54440056,2233.04343366,1549.66652033,40.0
360,1,40.0,flipped,gs,722.0,722.0,722.0,40.0
361,1,40.0,flipped,hc,16.783497593,16.0489497802,15.2898934751,40.0
362,1,40.0,flipped,oc,9.19413106946,8.56191295887,7.98879019947,40.0
